size,id,geo/0,geo/1,url,boost,title,country
1,wCTTqtij,111.03802,-6.7487564,https://radio.garden/visit/pati/wCTTqtij,FALSE,Pati,Indonesia
1,EhDzNCxT,1.4555525,42.35758,https://radio.garden/visit/la-seu-d-urgell/EhDzNCxT,FALSE,La Seu d'Urgell,Spain
3,ef0UPqoo,32.91745,-2.5164306,https://radio.garden/visit/mwanza/ef0UPqoo,FALSE,Mwanza,Tanzania
1,xpnT8pu4,-87.76222,35.319443,https://radio.garden/visit/waynesboro-tn/xpnT8pu4,FALSE,Waynesboro TN,United States
2,ZLcwnWkT,2.035041,41.34584,https://radio.garden/visit/sant-boi-de-llobregat/ZLcwnWkT,FALSE,Sant Boi de Llobregat,Spain
1,BiPraF0k,80.057686,7.2277937,https://radio.garden/visit/banduragoda/BiPraF0k,FALSE,Banduragoda,Sri Lanka
1,kE9tGZgt,15.63817,48.20353,https://radio.garden/visit/saint-polten/kE9tGZgt,FALSE,Saint Pölten,Austria
1,WrXjauEo,-64.09556,-38.994564,https://radio.garden/visit/rio-colorado/WrXjauEo,FALSE,Río Colorado,Argentina
1,XoosKDJE,-89.11673,32.771523,https://radio.garden/visit/philadelphia-ms/XoosKDJE,FALSE,Philadelphia MS,United States
2,Vv7dqJxA,-121.74052,38.544907,https://radio.garden/visit/davis-ca/Vv7dqJxA,FALSE,Davis CA,United States
2,ocAG4Cin,-48.325676,-21.252514,https://radio.garden/visit/jaboticabal-sp/ocAG4Cin,FALSE,Jaboticabal SP,Brazil
3,c3PEA3dZ,-90.57875,41.509476,https://radio.garden/visit/rock-island-il/c3PEA3dZ,FALSE,Rock Island IL,United States
1,PsD1cuCx,7.9469695,47.259712,https://radio.garden/visit/brittnau/PsD1cuCx,FALSE,Brittnau,Switzerland
1,CG2XUaNl,1.1409432,41.64808,https://radio.garden/visit/tarrega/CG2XUaNl,FALSE,Tàrrega,Spain
1,ccnBizPd,2.875169,41.886253,https://radio.garden/visit/cassa-de-la-selva/ccnBizPd,FALSE,Cassà de la Selva,Spain
1,r6_jhMna,-5.4509172,36.431904,https://radio.garden/visit/jimena-de-la-frontera/r6_jhMna,FALSE,Jimena de la Frontera,Spain
4,0ERVBTcz,-72.72989,6.703858,https://radio.garden/visit/malaga/0ERVBTcz,FALSE,Málaga,Colombia
1,a7Wlsob2,-98.39593,34.603565,https://radio.garden/visit/lawton-ok/a7Wlsob2,FALSE,Lawton OK,United States
1,xBPHXSfG,-7.496466,39.819714,https://radio.garden/visit/castelo-branco/xBPHXSfG,FALSE,Castelo Branco,Portugal
2,4loM21pq,9.948031,45.88894,https://radio.garden/visit/clusone/4loM21pq,FALSE,Clusone,Italy
3,Cs5rz1en,-64.728096,-21.521383,https://radio.garden/visit/tarija/Cs5rz1en,FALSE,Tarija,Bolivia
2,qUiYKy94,17.118406,40.591084,https://radio.garden/visit/massafra/qUiYKy94,FALSE,Massafra,Italy
1,lEjxMmFJ,-73.43734,5.754518,https://radio.garden/visit/arcabuco/lEjxMmFJ,FALSE,Arcabuco,Colombia
1,BlX6Y4cW,-3.0336585,43.32813,https://radio.garden/visit/santurtzi/BlX6Y4cW,FALSE,Santurtzi,Spain
1,3ScyKhXr,-4.1245117,41.598473,https://radio.garden/visit/penafiel/3ScyKhXr,FALSE,Peñafiel,Spain
2,hLYmBNlA,-2.12882,52.58697,https://radio.garden/visit/wolverhampton/hLYmBNlA,FALSE,Wolverhampton,United Kingdom
3,BP8Aomrz,-51.607777,-28.784039,https://radio.garden/visit/nova-prata-rs/BP8Aomrz,FALSE,Nova Prata RS,Brazil
